Date,Site,Station_Depth_m,Sample_Depth_m,Sample_Depth_category,Arrival_Time,Departure_Time,Lat_deg,Long_deg,Wind_speed_knots,Wave_Ht_ft,Sky,Secchi_Depth_m,Temp_C,SpCond_uScm-1,BeamAtten_m-1,Transmiss_pct,DO_mgL-1,PAR_uEcm-2s-1,Turbidity_NTU,Particulate_Microcystin_ugL-1,Dissolved_Microcystin_ugL-1,Extracted_PC_ugL-1,Extracted_CHLa_ugL-1,Total_cyanobacteria_genes_copiesmL-1,mycE_genes_copiesmL-1
7/6/2022,WE12,6.319,0.75,Surface,10:49,11:13,41.70081667,-83.2521,9.7192,1.31234,rain,1.75,24.29496111,273.1154444,1.973866667,61.35541111,7.582788889,323.1872222,3.25,0.13,bdl,0.91,10.09,39628.05145,39.69514708
7/6/2022,WE12,,5.8,Bottom,,,,,,,,,24.30757586,273.3292414,1.57182069,67.51588276,7.295210345,8.25257931,ns,bdl,bdl,1.72,9,ns,ns
7/6/2022,WE13,8.897,0.75,Surface,9:31,9:47,41.7438,-83.13521667,7.969744,1.31234,overcast,4,23.92957368,261.8736316,0.862036842,80.66510526,7.350994737,258.7736842,1.33,bdl,bdl,0.17,3.45,9528.458174,23.23209884
7/6/2022,WE13,,8.1,Bottom,,,,,,,,,23.77101786,262.7499286,0.982635714,78.24504286,7.328335714,16.57628571,ns,bdl,bdl,0.1,3.13,ns,ns
7/6/2022,WE16,6.041,0.75,Surface,10:11,10:20,41.65993333,-83.14288333,7.77536,1.31234,rain,3,24.25814444,257.2493889,1.458505556,70.40867222,7.357905556,150.4688889,2.03,bdl,bdl,0.03,3.1,5703.66463,10
7/11/2022,WE2,4.952,0.75,Surface,12:50,13:09,41.76085,-83.33345,15.55072,1.31234,cloudy,1.25,24.35566667,347.5985714,4.354633333,33.99428571,7.908361905,814.9357143,9.68,1.26,0.31,5.34,16.97,132162.1598,225.6855333
7/11/2022,WE2,,4.1,Bottom,,,,,,,,,24.26826,347.97688,3.785924,38.815612,7.797888,7.488264,ns,0.62,0.41,2.63,5.88,ns,ns
7/11/2022,WE4,8.297,0.75,Surface,9:03,9:20,41.82516667,-83.19655,13.995648,0.984252,clear,2.25,23.75751765,282.5540588,1.099564706,75.96638235,7.786770588,178.2917647,1.67,0.15,0.14,1.89,12.42,293715.0351,72.0371
7/11/2022,WE6,2.492,0.75,Surface,11:52,12:03,41.70483333,-83.3874,13.60688,1.31234,partly cloudy,1.25,23.9984875,321.6559375,2.87006875,48.7978375,8.11085625,1379.43875,7.87,0.91,0.32,4.82,35.1,1119809.062,836.7680933
7/11/2022,WE8,4.809,0.75,Surface,8:14,8:35,41.83328333,-83.3627,13.995648,0.656168,clear,2,24.15834118,295.136,1.715547059,65.14360588,8.286370588,105.6694118,3.14,0.47,0.25,12.96,36.56,1329007.733,119.81472
7/11/2022,WE8,,4,Bottom,,,,,,,,,24.18144118,294.9612941,1.6415,66.34805294,7.369411765,6.327305882,ns,bdl,0.26,15.19,32.89,ns,ns
7/11/2022,WE9,2.156,0.75,Surface,12:15,12:35,41.7174,-83.4257,13.60688,1.31234,mostly clear,0.25,24.53764286,390.0025238,nd,nd,4.774538095,382.5721905,58.7,0.92,bdl,0.37,13.72,169123.7933,bdl
7/11/2022,WE12,6.345,0.75,Surface,11:09,11:27,41.7023,-83.25401667,11.66304,0.984252,clear,0.75,23.85683077,285.3828462,6.192792308,21.26353846,7.311923077,1167.748846,12.1,0.18,0.19,1.68,33.35,1014739.635,26
7/11/2022,WE12,,5.6,Bottom,,,,,,,,,23.75127391,285.4077391,6.186547826,21.2966913,6.508795652,1.126841304,ns,0.11,bdl,0.74,18.46,ns,ns
7/11/2022,WE13,8.772,0.75,Surface,9:45,10:09,41.74208333,-83.13723333,13.995648,0.656168,clear,1.25,23.77021667,263.6817778,3.538716667,41.28499444,7.652583333,200.2744444,6.07,bdl,bdl,1.81,10.34,108654.4,bdl
7/11/2022,WE13,,8,Bottom,,,,,,,,,23.77702727,263.8698182,3.453536364,42.17395455,7.47035,1.152359545,ns,0.12,bdl,0.82,9.27,ns,ns
7/11/2022,WE16,5.807,0.75,Surface,10:29,10:47,41.65805,-83.14635,11.66304,0.984252,mostly clear,1.75,23.86612727,274.7286364,1.818736364,63.46534091,7.040154545,328.8759091,3.66,0.22,bdl,0.8,5.28,140588.7326,39
7/18/2022,WE2,5.37,0.75,Surface,12:24,12:40,41.76346667,-83.33065,3.88768,0.656168,partly cloudy,2,25.129356,326.05756,1.824724,63.40224,7.92536,957.2256,3.67,3.18,0.13,105.13,32.93,483067.2151,152.4354377
7/18/2022,WE2,,4.7,Bottom,,,,,,,,,24.684848,326.56724,1.81034,63.602336,6.466728,25.82612,ns,0.94,0.41,104.38,18.81,ns,ns
7/18/2022,WE4,8.269,0.75,Surface,8:45,9:02,41.82826667,-83.19478333,13.023728,1.31234,cloudy,2.75,23.99999474,248.8423158,1.657389474,68.0149,7.594315789,233.5610526,1.7,0.89,bdl,8.2,10.59,63074.2757,29.6
7/18/2022,WE6,2.684,0.75,Surface,11:15,11:30,41.70598333,-83.38595,7.77536,1.31234,cloudy,0.75,24.68146923,376.3822692,3.774930769,38.95402308,9.902580769,1161.698846,10.4,2.8,0.33,139.3,97.36,231603.5506,230.8905621
7/18/2022,WE8,4.641,0.75,Surface,8:01,8:16,41.83538333,-83.36021667,15.939488,1.31234,cloudy,0.75,25.16720455,341.4582273,4.064245455,36.23237727,8.205936364,68.16309091,23.3,10.28,0.75,403.08,143.46,5258117.707,3028
7/18/2022,WE8,,3.9,Bottom,,,,,,,,,24.96797143,342.0663333,2.431304762,54.50110476,7.594028571,0.085247095,ns,4.42,0.75,300.57,58.23,ns,ns
7/18/2022,WE9,2.237,0.75,Surface,11:47,12:01,41.71843333,-83.42556667,3.88768,0.984252,cloudy,0.5,25.49564815,432.8518889,nd,nd,4.556766667,1018.64963,18.4,0.47,0.18,52.74,17.49,186624.5323,bdl
7/18/2022,WE9,,0,Scum,,,,,,,,,ns,ns,ns,ns,ns,ns,ns,23.97,ns,1241.06,736.02,ns,ns
7/18/2022,WE12,6.408,0.75,Surface,10:34,10:47,41.70283333,-83.25423333,9.7192,1.31234,overcast,1.5,24.17737857,280.6269286,2.219571429,57.41445714,7.5336,413.4807143,4.76,0.4,0.17,6.34,12.04,108316.739,51.21008217
7/18/2022,WE12,,5.5,Bottom,,,,,,,,,24.08661,280.0074,2.28425,56.52961,7.44923,12.178575,ns,0.5,0.21,4.93,11.09,ns,ns
7/18/2022,WE13,8.748,0.75,Surface,9:24,9:39,41.74345,-83.13676667,13.023728,1.31234,cloudy,2.5,24.1708,263.5338333,1.237208333,73.39745,7.45335,388.7025,1.74,0.23,0.19,8.27,10.08,88005.12455,112.0267781
7/18/2022,WE13,,8,Bottom,,,,,,,,,24.13524167,263.3860833,1.2259875,73.602175,7.170329167,32.659,ns,bdl,0.19,12.19,13.99,ns,ns
7/18/2022,WE16,5.781,0.75,Surface,10:00,10:13,41.6604,-83.14695,9.7192,1.31234,cloudy,2.75,24.12764545,260.2862727,1.382227273,70.82320909,7.500072727,554.2690909,2.49,0.13,0.18,8.23,9.79,208302.8264,24.11240591
7/25/2022,WE2,5.324,0.75,Surface,13:02,13:27,41.76386667,-83.33171667,3.88768,0.656168,clear,1,25.89671818,300.0693182,3.605063636,40.65715455,8.901131818,1067.274091,10.5,7.39,0.48,109.72,63.23,170444,517
7/25/2022,WE2,,4.6,Bottom,,,,,,,,,25.474085,303.93285,2.98252,47.459445,8.612645,3.4541,ns,3.7,0.36,96.9,54.45,ns,ns
7/25/2022,WE4,8.31,0.75,Surface,8:53,9:21,41.82745,-83.19586667,12.051808,1.9685,clear,2.5,24.47230645,221.6560323,1.405945161,70.38304839,7.340593548,1230.936774,1.43,0.35,0.99,2.86,9.33,29183,73
7/25/2022,WE6,2.846,0.75,Surface,11:50,12:10,41.70628333,-83.38446667,5.83152,0.984252,clear,0.5,25.822175,376.9430625,4.8689625,29.67423125,10.0589,575.603125,18.4,27.02,0.55,309.35,271.59,1354082,1590
7/25/2022,WE6,,0,Scum,,,,,,,,,ns,ns,ns,ns,ns,ns,ns,71.63,0.88,311.67,631.67,ns,ns
7/25/2022,WE8,4.742,0.75,Surface,8:01,8:25,41.83511667,-83.36116667,13.995648,1.9685,clear,2,25.09020909,278.3651364,1.679281818,65.73764545,7.183727273,540.1268182,3.6,4.55,0.71,43.98,26.33,118309,163
7/25/2022,WE8,,4,Bottom,,,,,,,,,25.01516818,278.04,1.683490909,65.66416818,6.434213636,23.52136364,ns,4.33,0.41,45.03,22.9,ns,ns
7/25/2022,WE9,2.364,0.75,Surface,12:22,12:38,41.71796667,-83.42373333,3.88768,0.984252,clear,0.5,26.20484286,435.6912857,6.433295238,20.13842381,7.024480952,174.1114286,18.9,13.71,0.25,54.73,65.74,110348,348
7/25/2022,WE12,6.587,0.75,Surface,11:00,11:20,41.70595,-83.25373333,5.83152,1.31234,clear,1,25.40016,279.73685,3.84851,38.243665,7.988735,1299.408,8.5,2.84,0.34,44.22,52.85,160315,252
7/25/2022,WE12,,5.8,Bottom,,,,,,,,,25.26302273,279.6501818,3.948372727,37.27318182,7.832104545,2.199936364,ns,1.46,0.63,21.58,25.34,ns,ns
7/25/2022,WE13,8.895,0.75,Surface,9:41,10:00,41.74521667,-83.13546667,7.969744,1.31234,clear,2,24.82306316,241.3303158,1.791036842,63.91458947,7.220715789,1432.962632,1.62,0.66,0.59,8.94,13.46,46564,29
7/25/2022,WE13,,8.1,Bottom,,,,,,,,,24.8695,241.5818824,1.762129412,64.36985882,7.350247059,21.57835294,ns,0.43,0.51,8.28,13.99,ns,ns
7/25/2022,WE16,5.84,0.75,Surface,10:22,10:39,41.65831667,-83.14558333,7.77536,1.31234,clear,3,25.21754,266.3825333,1.213166667,73.8386,6.865253333,1570.453333,2.12,0.42,0.5,2.79,5.96,36888,20
8/2/2022,WE2,5.284,0.75,Surface,12:40,13:02,41.76275,-83.33115,1.94384,0.656168,clear,1.75,25.22333846,270.1645,2.735226923,50.47176923,7.702096154,1077.431154,6.04,1.21,0.18,51.26,23.92,54622,89
8/2/2022,WE2,,4.6,Bottom,,,,,,,,,24.58812083,278.0205,3.261283333,44.27145,6.335383333,21.81695833,ns,2,0.31,36.68,40.94,ns,ns
8/2/2022,WE4,8.414,0.75,Surface,8:36,8:55,41.99346667,-83.19453333,8.941664,1.64042,cloudy,1.5,24.60428,244.9378571,2.714665714,50.73584571,7.209708571,492.8185714,6.71,,0.58,13.83,33.99,181321,264
8/2/2022,WE6,2.884,0.75,Surface,11:34,11:50,41.70606667,-83.38623333,3.88768,0.656168,clear,0.75,25.262936,308.52192,6.956764,17.60986,10.190708,346.1912,19.3,2.4,0.41,103.68,116.11,286944,421
8/2/2022,WE8,4.707,0.75,Surface,7:47,8:05,41.8346,-83.3611,13.995648,1.31234,cloudy,1.75,24.59536538,255.1148077,3.235323077,44.55179615,7.326653846,309.8076923,9.61,1.01,0.24,24.94,44.13,100221,736
8/2/2022,WE8,,4,Bottom,,,,,,,,,24.614832,254.97752,3.23954,44.495312,6.283144,2.711776,ns,1.74,0.31,19.47,44.04,ns,ns
8/2/2022,WE9,2.449,0.75,Surface,12:04,12:16,41.71833333,-83.42313333,3.88768,0.656168,clear,0.5,25.25202692,338.7345,9.820323077,8.806776923,12.47315769,333.1226538,36.8,10.51,0.41,164.26,195.82,900188,772
8/2/2022,WE12,6.657,0.75,Surface,10:40,10:57,41.70285,-83.2522,5.83152,0.656168,clear,1.25,24.68433333,281.6390556,3.719316667,39.52513333,7.666044444,964.085,8.69,1.21,0.34,33.46,48.32,165986,989
8/2/2022,WE12,,5.9,Bottom,,,,,,,,,24.51512632,286.8715789,3.771405263,38.98968421,8.0186,1.216554211,ns,1.38,0.3,48.58,65.33,ns,ns
8/2/2022,WE13,9.078,0.75,Surface,9:17,9:45,41.7439,-83.13683333,7.969744,1.31234,cloudy,2,24.58192,231.6563,2.36084,55.42131,7.39959,399.356,3.17,0.22,0.26,2.81,11.04,39939,25
8/2/2022,WE13,,8.3,Bottom,,,,,,,,,24.5913,231.92025,2.45421,54.143015,7.59106,4.93114,ns,0.21,0.13,2.17,10.61,ns,ns
8/2/2022,WE16,6.136,0.75,Surface,10:01,10:15,41.66233333,-83.14588333,5.83152,0.984252,mostly clear,2.5,24.56819231,240.8470769,2.190592308,57.90564615,7.6861,710.88,2.1,0.13,0.25,5.37,14.62,53224,67
8/2/2022,ESP1,3.718,0,Scum,11:15,11:25,41.72713333,-83.33608333,3.88768,0.656168,clear,0.1,ns,ns,ns,ns,ns,ns,ns,5.67,0.5,92.04,134.67,ns,ns
8/9/2022,WE2,5.294,0.75,Surface,13:26,13:39,41.76273333,-83.32898333,3.88768,0.984252,overcast,0.5,26.07353636,283.7317273,6.328445455,20.56003636,7.730209091,273.0345455,28.3,5.17,0.43,66.81,170.9,847204,bdl
8/9/2022,WE2,,5.5,Bottom,,,,,,,,,25.84627368,279.6806842,6.242989474,21.01157368,7.587821053,3.73E-05,ns,3.7,0.22,50.69,96.28,ns,ns
8/9/2022,WE4,8.62,0.75,Surface,9:32,9:53,41.82688333,-83.19396667,9.913584,2.29659,overcast,1.5,25.58531667,246.1,3.299683333,43.83313333,7.0811,661.92,9.68,2.01,1.04,22.4,49.05,261149,bdl
8/9/2022,WE6,2.751,0.75,Surface,12:16,12:28,41.70573333,-83.38476667,5.83152,0.984252,overcast,0.5,25.95328421,314.759,9.802584211,8.630605263,7.366873684,352.2542105,29.9,7.53,0.35,53.48,143.42,1128824,bdl
8/9/2022,WE8,5.118,0.75,Surface,8:45,8:58,41.83411667,-83.36006667,12.051808,1.9685,overcast,1,25.70180526,254.6686842,4.208352632,35.007,7.548594737,209.8925789,12,1.7,0.43,22.93,64.06,180612,6
8/9/2022,WE8,,4.2,Bottom,,,,,,,,,25.77535833,255.2334167,4.013725,36.66353333,7.263283333,0.733723333,ns,2.6,0.12,24.27,56.15,ns,ns
