"","Depth_category","Temp","DO","MC","Chla","PC"
"191","Surface",22.53556,7.87412,0.24,31.27,13.94
"192","Bottom",22.45233333,7.432409524,0.33,28.6,7.52
"193","Surface",22.51184,7.357353333,0.23,12.39,1.9
"194","Surface",17.24420417,8.479491667,0.15,12.52,4.75
"195","Bottom",17.27028421,7.956515789,0.2,12.53,7.14
"196","Surface",16.70890476,7.986966667,0.19,3.13,0.09
"197","Surface",15.76830909,8.362645455,0.34,18.98,6.24
"198","Surface",16.539125,9.5112,0.27,35.88,62.12
"199","Bottom",16.62170388,8.364458252,0.14,45.39,112.69
"200","Surface",16.27443333,8.703861905,0.45,24.25,122.27
"201","Surface",16.72242222,9.126688889,0.27,8.31,5.25
"202","Bottom",16.7471,7.4553,0.16,7.85,8.12
"203","Surface",16.33615,8.286839286,0.4,51.33,137.42
"204","Bottom",16.20452,7.291545,0.37,103.35,42.24
"205","Surface",16.53270476,8.487,0.24,2.68,0.86
"206","Surface",15.57845789,9.295968421,0.4,16.45,6.74
"207","Surface",15.851156,8.751008,0.45,10.87,9.19
"208","Bottom",16.03201667,8.24345,0.38,9.55,4.73
"209","Surface",15.29592857,8.583757143,0.29,40.77,21.17
"210","Surface",16.2251963,7.946611111,0.35,8.13,5.39
"211","Bottom",16.2176381,7.90912381,0.39,8.14,2.89
"212","Surface",14.65705833,9.820391667,0.28,54.02,107.63
"213","Bottom",14.371055,9.983375,0.25,42.71,72.66
"214","Surface",14.41512632,9.476384211,0.17,3.67,0.13
"215","Surface",13.78494583,9.282720833,0.36,20.82,27.15
"216","Surface",14.39974545,9.502981818,0.24,27.24,28.21
"217","Bottom",14.40014783,9.160608696,0.21,28.93,40.07
"218","Surface",14.27994815,9.302681481,0.26,24.31,19.19
"219","Surface",14.67364118,9.330111765,0.25,27.43,16.57
"220","Bottom",14.64041923,9.527165385,0.29,28.28,33.94
"221","Surface",14.73996471,8.825235294,0.17,7.38,1.56
"222","Bottom",14.682,8.8179,0.14,5.54,0.91
